y,p_min,p_max
138,0,0
137.7,4.9,6.5
137.4,8.86,10.54
137.1,14.08,19.03
136.8,29.6,32
136.5,31.8,36.5
136.2,51.4,57.2
135.9,80.5,80.6
135.6,96,87.5
135.3,114.6,121.1
135,153.9,163.9
134.7,173.6,188
134.4,225,230
134.1,269,277
133.8,300,305
133.5,336,343
133.2,358,368
132.9,401,408
132.6,415,432
132.3,448,457
132,462,466
131.7,467,471
131.4,460,461
131.1,442,446
130.8,415,420
130.5,382,386
130.2,359,369
129.9,300,306
129.6,277,276
129.3,211,216
129,184,186
128.7,161,176
128.4,120,125
128.1,102,105
127.8,88.4,80.1
127.5,58.2,64.1
127.2,47.9,51.1
126.9,22.7,22.3
126.6,21,20.6
126.3,12.5,16.1
126,5.97,7.67
125.7,2.21,4.12
125.4,0,0
